"type","slug","url","intent","monetization","priority","status","owner","due_week","affiliate_priority","cta_test_status","hot_boost_week"
"new-money-article","ai-tools-for-ecommerce","https://lookforit.xyz/articles/ai-tools-for-ecommerce-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","ai-tools-for-lawyers","https://lookforit.xyz/articles/ai-tools-for-lawyers-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","ai-tools-for-customer-support","https://lookforit.xyz/articles/ai-tools-for-customer-support-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","ai-tools-for-real-estate","https://lookforit.xyz/articles/ai-tools-for-real-estate-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","ai-tools-for-recruiters","https://lookforit.xyz/articles/ai-tools-for-recruiters-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","free-ai-tools-for-students","https://lookforit.xyz/articles/free-ai-tools-for-students-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","best-ai-seo-tools-for-agencies","https://lookforit.xyz/articles/best-ai-seo-tools-for-agencies-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","ai-automation-tools-for-small-business","https://lookforit.xyz/articles/ai-automation-tools-for-small-business-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","best-ai-meeting-assistants","https://lookforit.xyz/articles/best-ai-meeting-assistants-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","best-ai-coding-tools-for-teams","https://lookforit.xyz/articles/best-ai-coding-tools-for-teams-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
