"slug","url","priority","variant_a","variant_b","variant_c","placement","status"
"claude","https://lookforit.xyz/tools/claude.html","99","See claude pricing and free plan","Compare claude tools in 2 minutes","Claim best claude deal this week","stickybar+inline+pricing_table","ready"
"chatgpt","https://lookforit.xyz/tools/chatgpt.html","99","See chatgpt pricing and free plan","Compare chatgpt tools in 2 minutes","Claim best chatgpt deal this week","stickybar+inline+pricing_table","ready"
"cursor","https://lookforit.xyz/tools/cursor.html","99","See cursor pricing and free plan","Compare cursor tools in 2 minutes","Claim best cursor deal this week","stickybar+inline+pricing_table","ready"
"deepseek","https://lookforit.xyz/tools/deepseek.html","99","See deepseek pricing and free plan","Compare deepseek tools in 2 minutes","Claim best deepseek deal this week","stickybar+inline+pricing_table","ready"
"gemini","https://lookforit.xyz/tools/gemini.html","99","See gemini pricing and free plan","Compare gemini tools in 2 minutes","Claim best gemini deal this week","stickybar+inline+pricing_table","ready"
"google-gemini","https://lookforit.xyz/tools/google-gemini.html","99","See google gemini pricing and free plan","Compare google gemini tools in 2 minutes","Claim best google gemini deal this week","stickybar+inline+pricing_table","ready"
"midjourney","https://lookforit.xyz/tools/midjourney.html","99","See midjourney pricing and free plan","Compare midjourney tools in 2 minutes","Claim best midjourney deal this week","stickybar+inline+pricing_table","ready"
"craft-core","https://lookforit.xyz/tools/craft-core.html","74","See craft core pricing and free plan","Compare craft core tools in 2 minutes","Claim best craft core deal this week","stickybar+inline+pricing_table","ready"
"craft-engine","https://lookforit.xyz/tools/craft-engine.html","74","See craft engine pricing and free plan","Compare craft engine tools in 2 minutes","Claim best craft engine deal this week","stickybar+inline+pricing_table","ready"
"craft-flow","https://lookforit.xyz/tools/craft-flow.html","74","See craft flow pricing and free plan","Compare craft flow tools in 2 minutes","Claim best craft flow deal this week","stickybar+inline+pricing_table","ready"
"craft-forge","https://lookforit.xyz/tools/craft-forge.html","74","See craft forge pricing and free plan","Compare craft forge tools in 2 minutes","Claim best craft forge deal this week","stickybar+inline+pricing_table","ready"
"elevenlabs","https://lookforit.xyz/tools/elevenlabs.html","74","See elevenlabs pricing and free plan","Compare elevenlabs tools in 2 minutes","Claim best elevenlabs deal this week","stickybar+inline+pricing_table","ready"
"fireflies-ai","https://lookforit.xyz/tools/fireflies-ai.html","74","See fireflies ai pricing and free plan","Compare fireflies ai tools in 2 minutes","Claim best fireflies ai deal this week","stickybar+inline+pricing_table","ready"
"figma-ai","https://lookforit.xyz/tools/figma-ai.html","74","See figma ai pricing and free plan","Compare figma ai tools in 2 minutes","Claim best figma ai deal this week","stickybar+inline+pricing_table","ready"
"example-ai-tool","https://lookforit.xyz/tools/example-ai-tool.html","74","See example ai tool pricing and free plan","Compare example ai tool tools in 2 minutes","Claim best example ai tool deal this week","stickybar+inline+pricing_table","ready"
"craft-assist","https://lookforit.xyz/tools/craft-assist.html","74","See craft assist pricing and free plan","Compare craft assist tools in 2 minutes","Claim best craft assist deal this week","stickybar+inline+pricing_table","ready"
"craft-ops","https://lookforit.xyz/tools/craft-ops.html","74","See craft ops pricing and free plan","Compare craft ops tools in 2 minutes","Claim best craft ops deal this week","stickybar+inline+pricing_table","ready"
"craft-one","https://lookforit.xyz/tools/craft-one.html","74","See craft one pricing and free plan","Compare craft one tools in 2 minutes","Claim best craft one deal this week","stickybar+inline+pricing_table","ready"
"craft-pilot","https://lookforit.xyz/tools/craft-pilot.html","74","See craft pilot pricing and free plan","Compare craft pilot tools in 2 minutes","Claim best craft pilot deal this week","stickybar+inline+pricing_table","ready"
"craft-labs","https://lookforit.xyz/tools/craft-labs.html","74","See craft labs pricing and free plan","Compare craft labs tools in 2 minutes","Claim best craft labs deal this week","stickybar+inline+pricing_table","ready"
"craft-cloud","https://lookforit.xyz/tools/craft-cloud.html","74","See craft cloud pricing and free plan","Compare craft cloud tools in 2 minutes","Claim best craft cloud deal this week","stickybar+inline+pricing_table","ready"
"craft-ai","https://lookforit.xyz/tools/craft-ai.html","74","See craft ai pricing and free plan","Compare craft ai tools in 2 minutes","Claim best craft ai deal this week","stickybar+inline+pricing_table","ready"
"craft-hub","https://lookforit.xyz/tools/craft-hub.html","74","See craft hub pricing and free plan","Compare craft hub tools in 2 minutes","Claim best craft hub deal this week","stickybar+inline+pricing_table","ready"
"craft-bridge","https://lookforit.xyz/tools/craft-bridge.html","74","See craft bridge pricing and free plan","Compare craft bridge tools in 2 minutes","Claim best craft bridge deal this week","stickybar+inline+pricing_table","ready"
